"ID","longitude","latitude"
"gr5123",-117.768,34.1797
"gr5119",-118.1974,34.0979
"ce7",-122.233543,38.264983
"ce8",-122.347183,38.417944
"ce44",-122.509403,38.367075
"ce51",-122.1072,38.507833
"ce53",-121.92202,37.944462
"ce121",-119.171018,34.481903
"ce168",-119.013175,34.074381
"ce183",-118.542051,34.088386
"gr5135",-118.0973,34.1831
"ce207",-122.117843,37.764879
"ce235",-121.461238,38.591717
"ce236",-122.463569,39.131258
"ce240",-120.935783,39.296646
"ce257",-117.625122,33.708204
"ce271",-119.174085,35.011005
"ce278",-119.141235,34.805064
"ce282",-118.560118,35.501923
"ce286",-116.834106,32.594986
"ce312",-118.592262,34.422345
"ce350",-119.445762,37.016671
"ce381",-119.654,34.6969
"ce378",-122.333793,38.624179
"ce371",-120.441055,34.699636
"ce473",-123.607109,39.75341
"ce489",-121.683883,37.005294
"ce566",-120.991916,38.719269
"ce621",-123.041826,38.726416
"df2500",-118.769362,36.350189
"df3383",-121.183889,36.409719
"df3865",-119.968153,37.916484
"df4088",-119.687747,37.582197
"svy1981",-121.13,36.51
"cns12228",-118.646685,34.133446
"cns14241",-118.730886,34.212469
"cns15436",-121.321083,39.301258
"cns15615",-120.844348,38.765456
"cns15617",-120.841776,38.774427
"cns18740",-120.647291,36.307388
"cns19373",-120.651901,36.291823
"cns19270",-120.683237,36.402125
"cns19452",-120.760138,36.359707
"cns19167",-120.701173,36.413603
"cns19622",-120.800961,36.39679
"cns19498",-120.783538,36.416694
"cns19481",-120.449184,36.318753
"cns18923",-120.453421,36.302197
"cns19661",-120.558783,36.535648
"cns19643",-120.584149,36.530181
"cns23954",-119.550616,37.104621
"cns23659",-119.565878,37.062756
"cns23886",-119.173008,34.91663
"cns24182",-118.701533,35.536978
"cns24184",-118.688512,35.549295
"cns25082",-119.944102,37.267423
"cns23990",-118.785509,36.145721
"cns24238",-118.787054,36.131458
"cns24295",-119.042901,36.582595
"cns25345",-118.637183,34.911724
"cns24823",-118.66243,34.910899
"cns25000",-119.747818,37.346764
"cns24358",-119.017106,36.576876
"cns25254",-118.450088,35.894453
"cns24975",-118.436319,35.851866
"cns25303",-119.060903,36.698437
"cns24214",-118.792747,36.159035
"cns25508",-119.64384,37.160271
"cns24688",-118.956999,36.513649
"cns25217",-118.665418,35.343429
"cns24372",-118.983666,36.534402
"cns25504",-119.738876,37.339291
"cns24307",-119.205076,36.877042
"cns24961",-118.941337,36.558279
"cns25353",-118.937154,36.487738
"cns24396",-118.89159,36.537493
"cns23647",-118.587625,35.318504
"cns24529",-118.699844,34.985384
"cns24531",-118.815012,34.933191
"cns26505",-119.635407,34.983765
"cns26914",-119.721312,35.247334
"cns26647",-119.787735,35.071931
"cns26572",-119.750224,35.259461
"cns27099",-119.54091,35.000167
"cns26772",-119.551465,34.967161
"cns25609",-119.865688,35.082281
"cns27009",-120.028762,35.203308
"cns23159",-119.006745,36.464706
"cns23117",-119.002416,36.477833
"cns23061",-118.992386,36.471303
"cns22831",-119.119841,36.58541
"cns22948",-119.009776,36.106716
"cns22670",-119.006061,36.48688
"cns22864",-118.777964,35.137561
"cns23052",-118.6948,35.295926
"cns22837",-119.090031,36.54711
"cns27646",-121.06237,38.860344
"cns27211",-120.47553,38.058457
"cns27990",-121.999496,40.112605
"cns27669",-122.04942,40.127305
"cns27691",-121.972602,40.245742
"cns28082",-121.181761,39.291821
"cns31517",-118.76716,36.476373
"cns32439",-118.72948,36.450758
"cns31668",-118.782302,36.476689
"cns31673",-118.75386,36.462201
"cns31653",-118.777407,36.435334
"cns32072",-118.896891,36.546085
"cns32085",-118.896904,36.55892
"cns32178",-118.891386,36.575485
"cns37206",-119.838203,37.676344
"cns37126",-119.822101,37.607765
"cns37578",-119.858103,37.659924
"cns37671",-119.860356,37.683153
"cns45386",-118.417618,35.25041
"cns46823",-122.066357,37.070655
"cns47109",-121.387935,37.184662
"cns47241",-121.430265,37.123868
"cns47252",-121.362888,37.230846
"cns47253",-121.40392,37.230256
"cns47263",-122.111183,37.22949
"cns48377",-121.902973,37.893634
"cns48596",-121.923334,37.843719
"cns47138",-121.208789,37.037867
"cns46458",-120.909628,36.672361
